Common Name,Scientific Name,English Common Name,Category,Da Shue Shan,Endemic,Race
花澤鵟,Circus melanoleucos,Pied Harrier,species,,,
鳳頭蒼鷹,Accipiter trivirgatus,Crested Goshawk,species,1,endemic subspecies,1
褐耳鷹,Accipiter badius,Shikra,species,,,
赤腹鷹,Accipiter soloensis,Chinese Sparrowhawk,species,1,,1
日本松雀鷹,Accipiter gularis,Japanese Sparrowhawk,species,1,,1
松雀鷹,Accipiter virgatus,Besra,species,1,endemic subspecies,1
北雀鷹,Accipiter nisus,Eurasian Sparrowhawk,species,1,,1
蒼鷹,Accipiter gentilis,Northern Goshawk,species,1,,1
黑鳶,Milvus migrans,Black Kite,species,1,,1
栗鳶,Haliastur indus,Brahminy Kite,species,,,
白尾海鵰,Haliaeetus albicilla,White-tailed Eagle,species,1,,
虎頭海鵰,Haliaeetus pelagicus,Steller's Sea-Eagle,species,,,
白腹海鵰,Haliaeetus leucogaster,White-bellied Sea-Eagle,species,,,
栗翅鷹,Parabuteo unicinctus,Harris's Hawk,species,,,
毛足鵟,Buteo lagopus,Rough-legged Hawk,species,1,,1
歐亞鵟,Buteo buteo,Common Buzzard,species,,,
東方鵟,Buteo japonicus,Eastern Buzzard,species,1,,1
大鵟,Buteo hemilasius,Upland Buzzard,species,,,
草鴞,Tyto longimembris,Australasian Grass-Owl,species,,endemic subspecies,
黃嘴角鴞,Otus spilocephalus,Mountain Scops-Owl,species,1,endemic subspecies,1
領角鴞,Otus lettia,Collared Scops-Owl,species,1,endemic subspecies,1
蘭嶼角鴞,Otus elegans,Ryukyu Scops-Owl,species,,endemic subspecies,
東方角鴞,Otus sunia,Oriental Scops-Owl,species,,,
鵰鴞,Bubo bubo,Eurasian Eagle-Owl,species,,,
黃魚鴞,Ketupa flavipes,Tawny Fish-Owl,species,1,,1
鵂鶹,Taenioptynx brodiei,Collared Owlet,species,1,endemic subspecies,1
縱紋腹小鴞,Athene noctua,Little Owl,species,,,
褐林鴞,Strix leptogrammica,Brown Wood-Owl,species,1,,1
東方灰林鴞,Strix nivicolum,Himalayan Owl,species,1,endemic subspecies,1
長耳鴞,Asio otus,Long-eared Owl,species,,,
短耳鴞,Asio flammeus,Short-eared Owl,species,,,
褐鷹鴞,Ninox japonica,Northern Boobook,species,1,,1
戴勝,Upupa epops,Eurasian Hoopoe,species,,,
翠鳥,Alcedo atthis,Common Kingfisher,species,1,,1
黑背三趾翠鳥,Ceyx erithaca,Black-backed Dwarf-Kingfisher,species,,,
赤背三趾翠鳥,Ceyx rufidorsa,Rufous-backed Dwarf-Kingfisher,species,,,
赤翡翠,Halcyon coromanda,Ruddy Kingfisher,species,1,,1
