Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S95415196,小卷尾,Dicrurus aeneus,19691,1,TW-TXG,,L2259477,台中大雪山IBA--大雪山林道0-15K(標示在9K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2151999,120.8839345,2021-10-01,01:08 PM,eBird - Traveling Count,75,1,8.46,,3
S95417247,小卷尾,Dicrurus aeneus,19691,1,TW-TXG,,L5612524,台中大雪山IBA--大雪山林道23-35K(標示在29K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 23-35K),24.2345395,120.9654145,2021-10-01,04:29 PM,eBird - Traveling Count,91,1,8.73,,3
S95411467,樹鵲,Dendrocitta formosae,20650,1,TW-TXG,,L3624542,台中--東勢林業文化園區(Taichung--Dongshi Forestry Culture Park),24.2442193,120.8344549,2021-10-01,10:21 AM,eBird - Traveling Count,35,1,.92,,3
S95453576,星鴉,Nucifraga caryocatactes,20691,2,TW-TXG,,L3204811,台中大雪山IBA--收費站(35K)(Dasyueshan IBA--Ticket Booth (35K)),24.2441848,120.9752089,2021-10-02,07:23 AM,eBird - Traveling Count,85,1,6.75,,3
S95450146,煤山雀,Periparus ater,21146,3,TW-TXG,,L2395343,台中大雪山IBA--小雪山莊(50K)(Dasyueshan IBA--Xiaoxueshan Lodge (50K)),24.2792643,121.0259056,2021-10-02,06:30 AM,eBird - Traveling Count,40,1,2.11,,3
S95417247,青背山雀,Parus monticolus,21362,X,TW-TXG,,L5612524,台中大雪山IBA--大雪山林道23-35K(標示在29K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 23-35K),24.2345395,120.9654145,2021-10-01,04:29 PM,eBird - Traveling Count,91,1,8.73,,3
S95413388,褐頭鷦鶯,Prinia inornata,22454,1,TW-TXG,,L16512205,"29 福昌街, 東勢區, 台中市, TW (24.244, 120.844)",24.2437307,120.8437784,2021-10-01,11:25 AM,eBird - Traveling Count,87,1,3.95,,3
S95413388,棕沙燕,Riparia chinensis,23238,6,TW-TXG,,L16512205,"29 福昌街, 東勢區, 台中市, TW (24.244, 120.844)",24.2437307,120.8437784,2021-10-01,11:25 AM,eBird - Traveling Count,87,1,3.95,,3
S95413388,洋燕,Hirundo tahitica,23319,1,TW-TXG,,L16512205,"29 福昌街, 東勢區, 台中市, TW (24.244, 120.844)",24.2437307,120.8437784,2021-10-01,11:25 AM,eBird - Traveling Count,87,1,3.95,,3
S95417247,東方毛腳燕,Delichon dasypus,23414,X,TW-TXG,,L5612524,台中大雪山IBA--大雪山林道23-35K(標示在29K附近)(Dasyueshan IBA--Dasyueshan Forest-Road 23-35K),24.2345395,120.9654145,2021-10-01,04:29 PM,eBird - Traveling Count,91,1,8.73,,3
S95413388,白頭翁,Pycnonotus sinensis,23672,2,TW-TXG,,L16512205,"29 福昌街, 東勢區, 台中市, TW (24.244, 120.844)",24.2437307,120.8437784,2021-10-01,11:25 AM,eBird - Traveling Count,87,1,3.95,,3
