Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S95424681,紅鳩,Streptopelia tranquebarica,2024,9,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,12:40 PM,eBird - Stationary Count,6,1,,,4,,,中坑派出所
S95424721,紅鳩,Streptopelia tranquebarica,2024,3,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,12:46 PM,eBird - Traveling Count,11,1,3.5,,4
S95424531,珠頸斑鳩,Streptopelia chinensis,2034,3,TW-TXG,,L3624542,台中--東勢林業文化園區(Taichung--Dongshi Forestry Culture Park),24.2442193,120.8344549,2021-10-01,10:10 AM,eBird - Traveling Count,27,1,1.,,4
S95424541,珠頸斑鳩,Streptopelia chinensis,2034,1,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,10:45 AM,eBird - Stationary Count,7,1,,,4,,,中坑派出所
S95424558,珠頸斑鳩,Streptopelia chinensis,2034,1,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,10:56 AM,eBird - Stationary Count,7,1,,,4,,,平埔橋
S95424570,珠頸斑鳩,Streptopelia chinensis,2034,1,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,11:03 AM,eBird - Traveling Count,5,1,2.98,,4
S95424581,珠頸斑鳩,Streptopelia chinensis,2034,2,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,11:10 AM,eBird - Stationary Count,5,1,,,4,,,小南坑
S95424594,珠頸斑鳩,Streptopelia chinensis,2034,1,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,11:15 AM,eBird - Traveling Count,5,1,3.,,4
S95424674,珠頸斑鳩,Streptopelia chinensis,2034,1,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,12:32 PM,eBird - Traveling Count,9,1,1.98,,4
S95424681,珠頸斑鳩,Streptopelia chinensis,2034,1,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,12:40 PM,eBird - Stationary Count,6,1,,,4,,,中坑派出所
S95424721,珠頸斑鳩,Streptopelia chinensis,2034,2,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,12:46 PM,eBird - Traveling Count,11,1,3.5,,4
S95424732,珠頸斑鳩,Streptopelia chinensis,2034,3,TW-TXG,,L3987481,台中大雪山IBA--大雪山林道0-15K(標記於9K處)(Dasyueshan IBA--Dasyueshan Forest-Road 0-15K),24.2152,120.88393,2021-10-01,12:58 PM,eBird - Traveling Count,6,1,3.36,,4
S95424740,珠頸斑鳩,Streptopelia chinensis,2034,1,TW-TXG,,L5757504,台中大雪山IBA--富山巷(Dasyueshan IBA--Fushan Lane (14K)),24.2323219,120.9015316,2021-10-01,01:10 PM,eBird - Traveling Count,6,1,2.77,,4
S95424774,珠頸斑鳩,Streptopelia chinensis,2034,1,TW-TXG,,L5757504,台中大雪山IBA--富山巷(Dasyueshan IBA--Fushan Lane (14K)),24.2323219,120.9015316,2021-10-01,01:39 PM,eBird - Traveling Count,6,1,2.51,,4
S95424531,小雨燕,Apus nipalensis,4051,15,TW-TXG,,L3624542,台中--東勢林業文化園區(Taichung--Dongshi Forestry Culture Park),24.2442193,120.8344549,2021-10-01,10:10 AM,eBird - Traveling Count,27,1,1.,,4
